Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14,Data_15,Data_16,TimeStampGlob
196,6,203,330,738,241,480,483,397,43,0,167,46,80,2,25,3.20322442054749
208,5,194,337,648,188,345,434,385,83,0,160,13,69,24,2,3.21376037597656
209,7,204,351,604,156,262,363,388,5,0,156,5,7,20,0,3.2242648601532
212,5,204,340,632,122,307,311,392,0,0,146,0,1,3,0,3.23453688621521
235,8,217,369,646,113,297,319,395,0,0,146,0,0,0,0,3.24509525299072
240,9,227,388,660,105,334,275,392,5,0,134,0,87,0,4,3.25576972961426
258,6,233,410,662,99,256,250,384,5,2,126,47,0,49,11,3.26662087440491
263,5,229,424,664,88,237,239,378,0,2,119,0,0,14,0,3.27701044082642
270,7,217,510,671,88,211,219,353,3,1,109,0,0,5,7,3.28736019134521
193,9,187,394,672,81,189,202,351,0,0,77,0,0,3,2,3.29739427566528
286,5,192,481,666,54,170,175,267,0,0,64,0,0,0,0,3.30752468109131
410,14,228,490,653,83,143,165,312,0,0,63,67,0,7,8,3.31784987449646
395,13,171,526,615,75,105,156,305,1,0,46,3,0,49,1,3.32847189903259
314,8,145,491,578,33,124,170,277,0,0,32,2,0,25,5,3.33899068832397
287,0,51,467,446,27,130,195,262,1,1,28,4,0,9,2,3.34926056861877
275,0,0,392,330,11,155,229,264,0,0,0,0,1,10,0,3.35967350006104
199,9,68,236,233,13,182,271,246,5,4,0,6,1,10,7,3.3700053691864
23,10,7,150,166,1,194,280,200,2,0,2,0,0,16,6,3.38034296035767
158,14,69,2,44,6,185,162,173,2,0,6,0,0,14,6,3.39041876792908
28,16,31,5,9,0,82,42,163,0,2,70,1,2,11,6,3.40008306503296
9,11,4,0,7,0,11,2,62,0,3,87,0,0,11,3,3.4099702835083
105,13,109,0,6,114,5,8,93,0,0,126,16,0,7,44,3.42029905319214
186,4,196,0,0,0,0,0,33,0,0,92,3,0,7,49,3.43017101287842
0,0,1,0,0,70,4,46,29,5,0,139,0,0,9,36,3.43998718261719
0,24,0,0,2,16,0,3,25,1,0,152,0,0,5,58,3.45005679130554
