Time,Phase_Change_Indices
1738245270.2128286,0.0
1738245270.231622,0.0
1738245270.2462523,0.0
1738245270.2627149,0.0
1738245270.2821362,0.0
1738245270.2962751,0.0
1738245270.3122392,0.0
1738245270.3312457,0.0
1738245270.345914,0.0
1738245270.362575,0.0
1738245270.3814027,0.0
1738245270.3958323,0.0
1738245270.4125907,0.0
1738245270.4310403,0.0
1738245270.4461932,0.0
1738245270.462146,0.0
1738245270.4811766,0.0
1738245270.4959505,0.0
1738245270.5123713,0.0
1738245270.531767,0.0
1738245270.54598,0.0
1738245270.5629232,0.0
1738245270.5817096,0.0
1738245270.595827,0.0
1738245270.6134105,0.0
1738245270.6316793,0.0
1738245270.646576,0.0
1738245270.6629524,0.0
1738245270.6817243,0.0
1738245270.696486,0.0
1738245270.7128909,0.0
1738245270.7316155,0.0
1738245270.746447,0.0
1738245270.7631414,0.0
1738245270.7818437,0.0
1738245270.7969098,0.0
1738245270.8135457,0.0
1738245270.8323698,0.0
1738245270.8463385,0.0
1738245270.8637545,0.0
1738245270.8826928,0.0
1738245270.8965268,0.0
1738245270.913068,0.0
1738245270.932097,0.0
1738245270.9468424,0.0
1738245270.9635582,0.0
1738245270.9819777,0.0
1738245270.9966226,0.0
1738245271.0131624,0.0
1738245271.0324123,0.0
1738245271.0462863,0.0
1738245271.063888,0.0
1738245271.082619,0.0
1738245271.0965314,0.0
1738245271.1138237,0.0
1738245271.132265,0.0
1738245271.1471555,0.0
1738245271.163907,0.0
1738245271.1828144,0.0
1738245271.196874,0.0
1738245271.2141757,0.0
1738245271.2321577,0.0
1738245271.2470362,0.0
1738245271.2639606,0.0
1738245271.2823105,0.0
1738245271.2972414,0.0
1738245271.3138578,0.0
1738245271.332232,0.0
1738245271.346972,0.0
1738245271.3642485,0.0
1738245271.3825626,0.0
1738245271.3969522,0.0
1738245271.413462,0.0
1738245271.432397,0.0
1738245271.446698,0.0
1738245271.464645,0.0
1738245271.4833946,0.0
1738245271.4980936,0.0
1738245271.5161304,0.0
1738245271.5342734,0.0
1738245271.5493405,0.0
1738245271.5673358,0.0
1738245271.584773,0.0
1738245271.5999825,0.0
1738245271.6181264,0.0
1738245271.636752,0.0
1738245271.6513455,0.0
1738245271.6703703,0.0
1738245271.687879,0.0
1738245271.7027426,0.0
1738245271.7213972,0.0
1738245271.7399085,0.0
1738245271.7556765,0.0
1738245271.7733586,0.0
1738245271.7905903,0.0
1738245271.8056374,0.0
1738245271.8244677,0.0
1738245271.8411136,0.0
1738245271.8564646,0.0
1738245271.8748114,0.0
1738245271.891554,0.0
1738245271.9073915,0.0
1738245271.925748,0.0
1738245271.9428551,0.0
1738245271.9572573,0.0
1738245271.976989,0.0
1738245271.9925642,0.0
1738245272.0085416,0.0
1738245272.0273397,0.0
1738245272.0430503,0.0
1738245272.058286,0.0
1738245272.077728,0.0
1738245272.093815,0.0
1738245272.108302,0.0
1738245272.1284175,0.0
1738245272.143266,0.0
1738245272.1589997,0.0
1738245272.1782632,0.0
1738245272.1940656,0.0
1738245272.2084858,0.0
1738245272.2282147,0.0
1738245272.244043,0.0
1738245272.2587442,0.0
1738245272.2785342,0.0
1738245272.293956,0.0
1738245272.3096616,0.0
1738245272.3288624,0.0
1738245272.344466,0.0
1738245272.3594515,0.0
1738245272.3788574,0.0
1738245272.3942742,0.0
1738245272.4092002,0.0
1738245272.42863,0.0
1738245272.444616,0.0
1738245272.4592695,0.0
1738245272.4785514,0.0
1738245272.493792,0.0
1738245272.508996,0.0
1738245272.5288875,0.0
1738245272.5438209,0.0
1738245272.5588849,0.0
1738245272.578507,0.0
1738245272.593933,0.0
1738245272.6094117,0.0
1738245272.6289215,0.0
1738245272.6443827,0.0
1738245272.6599047,0.0
1738245272.6797595,0.0
1738245272.694786,0.0
1738245272.7101831,0.0
1738245272.7308218,0.0
1738245272.7445114,0.0
1738245272.7611678,0.0
1738245272.7808692,0.0
1738245272.79467,0.0
1738245272.8108313,0.0
1738245272.8299356,0.0
1738245272.8447964,0.0
1738245272.8603222,0.0
1738245272.8803246,0.0
1738245272.8947754,0.0
1738245272.9098785,0.0
1738245272.930984,0.0
1738245272.9449055,0.0
1738245272.9607656,0.0
1738245272.9806683,0.0
1738245272.995109,0.0
1738245273.0107918,0.0
1738245273.0313926,0.0
1738245273.0461357,0.0
1738245273.0612588,0.0
1738245273.081387,0.0
1738245273.0963974,0.0
1738245273.1113806,0.0
1738245273.131263,0.0
1738245273.1460626,0.0
1738245273.161809,0.0
1738245273.181872,0.0
1738245273.195677,0.0
1738245273.2115614,0.0
1738245273.231422,0.0
1738245273.2457874,0.0
1738245273.261131,0.0
1738245273.2813532,0.0
1738245273.2956333,0.0
1738245273.3114324,0.0
1738245273.331627,0.0
1738245273.346252,0.0
1738245273.3615696,0.0
1738245273.3820052,0.0
1738245273.3961034,0.0
1738245273.4121714,0.0
1738245273.4321349,0.0
1738245273.4467025,0.0
1738245273.462286,0.0
1738245273.4822235,0.0
1738245273.4968128,0.0
1738245273.511849,0.0
1738245273.5339143,0.0
1738245273.5476515,0.0
1738245273.5629618,0.0
1738245273.5828495,0.0
1738245273.5972354,0.0
1738245273.6128569,0.0
1738245273.6336875,0.0
1738245273.647873,0.0
1738245273.662953,0.0
1738245273.6830566,0.0
1738245273.6982296,0.0
1738245273.713667,0.0
1738245273.7331316,0.0
1738245273.7476208,0.0
1738245273.7635798,0.0
1738245273.7830527,0.0
1738245273.797703,0.0
1738245273.8132622,0.0
1738245273.8332903,0.0
1738245273.8482864,0.0
1738245273.8628552,0.0
1738245273.8831592,0.0
1738245273.8984694,0.0
1738245273.9131875,0.0
1738245273.933225,0.0
1738245273.9481928,0.0
1738245273.9640598,0.0
1738245273.9834647,0.0
1738245273.9978914,0.0
1738245274.0130525,0.0
1738245274.033973,0.0
1738245274.0482068,0.0
1738245274.0639348,0.0
